OBJECTID,Field1,UN1,East,North,elp,gravity
502,11PL-352-036,1.281,485390,685034,9.121,-94.66
489,11PL-352-068,1.559,497665,674812,31.561,-94.52
192,11SL-418-026,1.314,468122,642992,10.59,-95.07
615,11SL-418-076,1.301,476149,625224,36.86,-94.86
475,11SL-442-041,1.61,502275,694815,-37.292,-94.59
563,12PL-330-032,1.157,510137,616337,7.265,-94.43
519,26PL-355-035,1.422,532619,681233,-61.277,-94.21
513,26PL-355-073,1.345,516084,676482,-31.99,-94.32
517,26SL-453-070,1.324,519002,686414,-49.446,-94.32
223,28PL-333-119,1.51,607909,486164,-68.518,-94.23
568,31PL-309-075,1.32,486529,576715,215.154,-94
280,32PL-309-010,1.442,482744,539504,353.572,-93.16
570,32SL-406-026,1.361,495817,533305,417.052,-92.7
271,32TL-050-056,1.384,475502,529289,405.389,-93.33
343,32TL-056-032,1.22,485465,521393,632.358,-92.52
356,33PL-303-061,1.641,489056,508570,910.046,-91.83
600,33PL-311-046,1.551,486161,494055,1112.545,-91.65
307,33PL-311-089,1.523,474372,493416,910.483,-92.52
652,33SL-403-068,1.345,518185.084,521496.128,130.329,-92.88
305,33TL-013-023,1.663,475494,486882,948.306,-92.39
352,33TL-028-055,1.301,499001,520973,465.285,-92.3
362,33TL-054-047,1.473,516503,500594,1310.785,-91.8
52,41PL-305-025,1.32,397402,554803,-93.832,-96.95
40,41PL-312-053,1.255,397768,534465,-91.859,-97.11
89,41PL-325-044,1.491,413317,599611,-35.468,-96.45
121,41PL-334-018,1.354,420924,626939,-20.98,-96.24
619,42PL-328-002,1.283,455547,553012,32.322,-94.89
238,42PL-328-024,1.326,465493,546833,56.426,-94.27
170,42PL-331-026,1.412,445480,564416,-0.392,-95.41
148,42PL-331-058,1.439,434046,577121,-40.897,-95.86
119,42TL-020-047,1.347,419446,536015,-66.216,-96.26
603,51TL-023-012,1.386,429396,505455,-58.898,-95.93
116,52TL-024-007,1.287,423956,486892,-85.214,-96.34
577,53TL-024-044,1.203,432925,473618,-79.096,-96.09
585,53TL-068-93,1.179,431979,454078,-87.937,-96.54
634,53TL-070-025,1.128,422804,465167,-87.223,-96.69
179,61PL-304-011,1.411,443791,496918,-68.81,-95.25
189,61PL-313-052,1.456,448235,524737,58.597,-94.95
604,61PL-324-034,1.27,454069,499599,-55.506,-94.53
573,61TL-033-033,1.15,454022,515348,129.469,-94.56
196,61TL-033-067,1.23,445589,507451,-68.772,-95.1
643,62PL_329_25,1.251,506582.973,471728.49,734.281,-92.5
306,62PL-329-047,1.299,499753,468776,489.817,-92.75
166,62PL-63-BM28,1.437,446962,469651,-80.258,-95.51
640,62SL-416-017,1.464,492014,461948,442.958,-93.52
175,62TL-036-025,1.334,443080,484055,-70.048,-95.39
579,62TL-044-002,1.59,440236,471195,-64.602,-95.78
290,71PL-300-030,1.478,523750,513299,140.713,-92.76
332,71PL-307-004,1.254,520837,474773,1337.198,-92.59
335,71PL-329-011,1.428,510677,473857,864.523,-92.38
653,71SL403-073,1.376,522097.15,521610.482,28.016,-93.06
279,71TL-055-056,1.387,530312,519666,51.909,-93.22
340,71TL-057-008,1.395,525790,480202,1232.822,-92.35
346,71TL-075-074,1.635,524211,492942,1145.639,-92.05
589,72PL-327-027,1.492,554022,474885,94.459,-94.16
588,72PL-333-048,1.503,575904,489665,34.535,-94
65,83PL-336-085,1.117,510558,399580,-83.436,-97.02
111,83SL-410-023,0.807,539536,406311,-92.552,-96.91
138,93PL-317-149,1.215,460274,749883,-53.358,-96.19
154,93PL-317-169,1.23,461740,740009,-42.108,-95.97
435,93SL-430-001,1.288,464286,734900,-41.782,-95.85
427,93SL-430-053,1.312,440756,737237,-76.192,-96.23
446,93SL-434-057,1.197,486929,738678,-64.446,-95.62
424,94SL-430-072,1.204,433428,741390,-78.362,-96.49
466,95SL-428-001,1.336,469773,694680,-6.973,-95.04
433,95SL-432-069,1.546,435798,693710,-68.059,-95.78
454,95SL-434-022,1.252,480750,724321,-18.01,-95.36
655,ABM01,1.369,522058.895,522212.457,22.144,-93.08
656,ABM02,1.474,522652.679,523124.828,20.029,-93.13
648,HBM1,1.253,506579.866,471566.726,719.856,-92.52
649,HBM3,1.292,506766.318,471018.233,618.443,-92.58
647,HBM5,1.275,506531.07,470264.041,535.523,-92.67
