OBJECTID,Field1,UN1,East,North,elp
502,11PL-352-036,-95.941,485390,685034,9.121
489,11PL-352-068,-96.079,497665,674812,31.561
192,11SL-418-026,-96.384,468122,642992,10.59
615,11SL-418-076,-96.161,476149,625224,36.86
475,11SL-442-041,-96.2,502275,694815,-37.292
563,12PL-330-032,-95.587,510137,616337,7.265
519,26PL-355-035,-95.632,532619,681233,-61.277
513,26PL-355-073,-95.665,516084,676482,-31.99
517,26SL-453-070,-95.644,519002,686414,-49.446
223,28PL-333-119,-95.74,607909,486164,-68.518
568,31PL-309-075,-95.32,486529,576715,215.154
280,32PL-309-010,-94.602,482744,539504,353.572
570,32SL-406-026,-94.061,495817,533305,417.052
271,32TL-050-056,-94.714,475502,529289,405.389
343,32TL-056-032,-93.74,485465,521393,632.358
356,33PL-303-061,-93.471,489056,508570,910.046
600,33PL-311-046,-93.201,486161,494055,1112.545
307,33PL-311-089,-94.043,474372,493416,910.483
652,33SL-403-068,-94.225,518185,521496,130.329
305,33TL-013-023,-94.053,475494,486882,948.306
352,33TL-028-055,-93.601,499001,520973,465.285
362,33TL-054-047,-93.273,516503,500594,1310.785
52,41PL-305-025,-98.27,397402,554803,-93.832
40,41PL-312-053,-98.365,397768,534465,-91.859
89,41PL-325-044,-97.941,413317,599611,-35.468
121,41PL-334-018,-97.594,420924,626939,-20.98
619,42PL-328-002,-96.173,455547,553012,32.322
238,42PL-328-024,-95.596,465493,546833,56.426
170,42PL-331-026,-96.822,445480,564416,-0.392
148,42PL-331-058,-97.299,434046,577121,-40.897
119,42TL-020-047,-97.607,419446,536015,-66.216
603,51TL-023-012,-97.316,429396,505455,-58.898
116,52TL-024-007,-97.627,423956,486892,-85.214
577,53TL-024-044,-97.293,432925,473618,-79.096
585,53TL-068-93,-97.719,431979,454078,-87.937
634,53TL-070-025,-97.818,422804,465167,-87.223
179,61PL-304-011,-96.661,443791,496918,-68.81
189,61PL-313-052,-96.406,448235,524737,58.597
604,61PL-324-034,-95.8,454069,499599,-55.506
573,61TL-033-033,-95.71,454022,515348,129.469
196,61TL-033-067,-96.33,445589,507451,-68.772
643,62PL_329_25,-93.751,506583,471728,734.281
306,62PL-329-047,-94.049,499753,468776,489.817
166,62PL-63-BM28,-96.947,446962,469651,-80.258
640,62SL-416-017,-94.984,492014,461948,442.958
175,62TL-036-025,-96.724,443080,484055,-70.048
579,62TL-044-002,-97.37,440236,471195,-64.602
290,71PL-300-030,-94.238,523750,513299,140.713
332,71PL-307-004,-93.844,520837,474773,1337.198
335,71PL-329-011,-93.808,510677,473857,864.523
653,71SL403-073,-94.436,522097,521610,28.016
279,71TL-055-056,-94.607,530312,519666,51.909
340,71TL-057-008,-93.745,525790,480202,1232.822
346,71TL-075-074,-93.685,524211,492942,1145.639
589,72PL-327-027,-95.652,554022,474885,94.459
588,72PL-333-048,-95.503,575904,489665,34.535
65,83PL-336-085,-98.137,510558,399580,-83.436
111,83SL-410-023,-97.717,539536,406311,-92.552
138,93PL-317-149,-97.405,460274,749883,-53.358
154,93PL-317-169,-97.2,461740,740009,-42.108
435,93SL-430-001,-97.138,464286,734900,-41.782
427,93SL-430-053,-97.542,440756,737237,-76.192
446,93SL-434-057,-96.817,486929,738678,-64.446
424,94SL-430-072,-97.694,433428,741390,-78.362
466,95SL-428-001,-96.376,469773,694680,-6.973
433,95SL-432-069,-97.326,435798,693710,-68.059
454,95SL-434-022,-96.612,480750,724321,-18.01
655,ABM01,-94.449,522059,522212,22.144
656,ABM02,-94.604,522653,523125,20.029
648,HBM1,-93.773,506580,471567,719.856
649,HBM3,-93.872,506766,471018,618.443
647,HBM5,-93.945,506531,470264,535.523
